Date,gme,aal,aapl,amd,aph,bili,clov,dkng,ecor,meta,ino,jd,msft,mvis,cenn,plug,sndl,tlry,tsla,wkhs,zm
2021-04-21 00:00:00-04:00,15251200,49376400,68847100,35069000,3146400,3185200,23876800,12019600,33120,14863500,6252700,10833500,24030400,23527900,4728213,39428400,19951370,13434600,93646500,11102100,1917500
2021-04-22 00:00:00-04:00,17383200,72635100,84566500,38846100,3344500,4838900,12717000,12904200,25833,16375400,6493300,9509000,25606200,38728900,4623087,48564100,21295220,12333200,106770900,11281000,3328300
2021-04-23 00:00:00-04:00,16116400,47995300,78657500,49194000,3555400,6108400,12228800,10252500,26940,17536800,54503300,9582700,21462600,117641000,7656673,28087200,17662570,10367500,85110000,8075700,2454300
2021-04-26 00:00:00-04:00,42128400,44349200,66905100,57594500,2452500,3294900,12273100,8011200,40667,16172600,17331000,12238600,19763300,213591300,14780273,45522200,24490570,9902900,93115500,8810400,2286700
2021-04-27 00:00:00-04:00,35730800,26767100,66015800,61909900,3146100,4438300,8484600,13370400,26840,15309300,9640700,11834100,31014200,158525900,12378827,27416600,25444130,13843300,88311000,6538400,2208300
2021-04-28 00:00:00-04:00,23155600,22572100,107760100,108920300,4943300,2626300,86442400,7501900,32100,33907200,6527900,7035500,46903100,179275800,4466960,24936900,30757660,29235500,66813000,4464700,1437600
2021-04-29 00:00:00-04:00,15041200,34430900,151101000,51294500,2901100,4084600,68334900,15592800,60700,56526800,6280600,7327300,40589000,74629000,9415947,35927300,23084250,25153200,86536200,6589800,3121100
2021-04-30 00:00:00-04:00,17734400,31608800,109839500,46601900,3716700,4328500,17439400,10668300,34100,26332400,5153300,6386900,30945100,74012300,27858627,27026400,15479360,19253000,122276100,13479200,2152500
2021-05-03 00:00:00-04:00,21044000,27606100,75135100,66323300,3386000,3755100,15999100,15797700,36907,18719500,6766900,6255500,19626600,27284200,9479640,30448600,20358620,25517200,81129300,7947500,2253000
2021-05-04 00:00:00-04:00,16030000,36050800,137564700,59194300,4635600,4032000,10100100,17944200,50233,24032600,8016100,8822000,32756100,69572300,6603773,44542700,18661340,25627400,89217900,8358600,3727600
2021-05-05 00:00:00-04:00,11221600,27984800,84000900,42310200,3270400,2381100,6653600,11503500,44560,15577600,4928100,5580200,21901300,27034800,4047320,29291900,16878420,21052700,65705700,6248000,2582600
2021-05-06 00:00:00-04:00,11771200,25632600,78128300,38661300,2638400,3157200,8476000,27353900,48173,19012200,7707000,8142900,26491100,15059700,3345347,45365300,20873880,33695700,83353800,20234900,3369100
2021-05-07 00:00:00-04:00,11738400,32022900,78973300,36954200,2106400,2969100,6507400,46018800,58547,15916700,6530800,7808500,27032900,16022100,2925980,21640900,24478150,74836300,70407600,12541600,2446200
2021-05-10 00:00:00-04:00,19226800,32570000,88071200,45134500,2825300,6189000,6204000,42216000,111987,24239200,16739900,16602000,29299900,11944800,2582220,39035300,14366580,30296100,94177200,26616400,2507800
