Date,msft,aapl,tsla,amzn,meta,brk-b,goog,jnj,jpm,v,pg,ma,intc,unh,bac,t,hd,xom,dis,vz,ko,mrk,cmcsa,cvx,pep,pfe,^gspc
2020-06-02 00:00:00-04:00,30794600,87642800,203484000,50598000,20919000,5803000,25562000,6078300,21195000,8462100,6327900,4131300,20702400,2756800,71118100,37650588,5301000,22319000,10753100,17300400,15255100,11352984,19060100,7880300,5327500,42690900,5197150000
2020-06-03 00:00:00-04:00,27311000,104491200,119242500,53420000,15380300,6706700,25124000,6339500,25941100,8879400,6171000,3429700,16737300,4360000,86744600,36888361,4638100,23418000,12584300,16086700,15508300,13675457,17141900,8440200,5421200,38751996,6005560000
2020-06-04 00:00:00-04:00,28761800,87560400,133315500,58974000,17041500,5809800,29686000,8170500,26784700,7829800,6895800,4147700,22010100,4374300,94545300,40729947,4759400,18731400,14195100,16147300,13604700,9292930,12756500,6371700,5229700,27013388,6451290000
2020-06-05 00:00:00-04:00,39893600,137250400,117178500,66128000,16750400,10390400,34698000,9725400,42231000,8561200,7337800,5058200,26813100,5554300,118767900,61816766,5054300,41328900,16581600,17105600,20504800,10413347,20271600,12760100,7075700,36705655,8639300000
2020-06-08 00:00:00-04:00,33211600,95654400,212620500,79414000,15466500,6695100,28084000,7555600,24881800,7628100,6926700,3724300,21546200,4635500,79598500,45385793,3811900,33579400,13858100,14963000,19896700,9956838,17212000,11090700,5613000,30194149,8498300000
2020-06-09 00:00:00-04:00,29783900,147712400,170823000,103520000,27462900,7711800,28184000,8247200,17031100,6892300,5563200,3314800,23594100,3061500,77773400,42645378,3716100,27276900,10882800,14530800,16713700,8846168,14413900,10745400,6446900,21675088,6410930000
2020-06-10 00:00:00-04:00,43872300,166651600,278451000,98920000,20720700,7337400,30504000,10137100,24913300,8405300,6678200,4089000,21367800,3296100,90415300,36133549,3589800,31156800,11497100,13649100,15716600,9080920,15634600,10486300,7069900,29557217,6598870000
2020-06-11 00:00:00-04:00,52854700,201662400,238747500,116002000,26708200,15372400,39826000,11913300,36259200,11974600,8937500,6505300,26998200,6638900,149875500,66021525,6563700,39183000,26078800,23412500,26070400,14303838,22805900,14944800,8541000,63166642,7037320000
2020-06-12 00:00:00-04:00,43373600,200146000,251451000,108722000,22091400,9476800,38928000,8687400,24856800,11706300,7998500,4512200,30419800,5416800,73729700,48034323,5238500,30978100,18361900,17129000,21822700,17000656,18507300,9532400,7039500,37902472,5845330000
2020-06-15 00:00:00-04:00,32770200,138808800,235458000,77302000,15340300,8105200,30078000,8649600,22153600,6752700,8786000,5932900,29651700,4494600,76538900,53309006,6250900,27929300,14156400,14826800,15622300,17684162,16585500,12289500,5481000,36247482,5757480000
2020-06-16 00:00:00-04:00,42556700,165428800,210766500,71712000,15236700,9407600,34184000,7579100,22193600,11057200,8165200,4013100,23226600,4245400,96796500,55119444,5291600,26203400,12951200,15021300,18803500,21437050,21212400,8726700,5197700,55616945,5845810000
2020-06-17 00:00:00-04:00,25687800,114406400,148362000,59186000,19578100,6448500,30992000,5100100,15639800,5968900,6320800,2566400,20454800,2538000,58349500,41680314,4234000,19279400,8921600,10652100,12602800,13983045,18935700,6019900,3309700,27509822,4560450000
2020-06-18 00:00:00-04:00,23061600,96820400,146278500,49756000,15782500,4920900,31638000,4797400,16591900,5803200,6274400,2776600,24899700,2926600,53419000,37554730,3347800,21478700,9577300,9019500,9380800,7750903,17008200,7064100,3417200,32278855,4448690000
2020-06-19 00:00:00-04:00,44441100,264476000,130195500,115540000,30081300,8767900,63158000,12206900,40371200,11483300,17506200,4533500,60336100,5172800,127563600,99288878,11114600,48899900,23496300,28868200,30464600,17691393,35341300,14838800,8310100,43986266,8346650000
2020-06-22 00:00:00-04:00,32818900,135445200,95436000,64176000,18917800,5816900,30848000,5285600,16216900,6674500,5695600,3489200,22846000,2174100,55484300,39136646,3815200,17565400,12868000,12333900,20876200,7474231,20800700,5939200,3379900,23332503,4686690000
2020-06-23 00:00:00-04:00,30917400,212155600,95479500,84634000,24017900,6378100,28596000,5921600,15381400,9866800,5340400,3801500,22809600,4023400,46108300,51520812,3105300,18916600,10187600,20716400,14675300,11428650,24917900,6317700,3625600,37690408,4711850000
2020-06-24 00:00:00-04:00,36740600,192623200,164394000,90532000,20834900,8081200,35120000,8211200,22919800,9453100,6547800,5086000,27764500,3399900,75437100,86849104,3873000,27626900,22252500,24794600,17631800,8084901,20958900,8974500,4853500,30817695,5597680000
2020-06-25 00:00:00-04:00,27803900,137522400,138817500,59374000,18704300,6380000,24610000,7421200,25743600,9936600,5489300,3294800,21906900,3112500,65031900,48420401,2938400,19353600,17240400,17122500,13829700,7583328,18159200,7398000,4442000,27418651,4847690000
2020-06-26 00:00:00-04:00,54675800,205256800,132823500,130016000,76343900,14772100,85354000,12849700,41896300,11836000,23201700,4922500,38477500,5043200,118139200,101387551,5002700,31518600,15270900,30211900,21955100,12328882,50945600,13766000,7372700,42153992,8107850000
2020-06-29 00:00:00-04:00,26701600,130646000,135396000,84468000,58514300,5218200,36204000,5309800,18499700,8020400,6866900,3642200,22150300,2356700,66269200,49695678,3468300,17052100,12584300,15930300,17603900,7230990,20573800,7022200,4173900,23956261,4473970000
2020-06-30 00:00:00-04:00,34310300,140223200,253777500,75394000,33927100,6763800,40848000,7738300,19137000,9040100,7818000,4283500,31542100,2932900,61716200,57979814,4524600,22153600,10565900,17414800,23679800,9940804,22169400,8263600,4626700,25451676,4705850000
2020-07-01 00:00:00-04:00,32061200,110737200,199903500,127268000,43399700,4619800,35504000,6174800,18755700,6394100,6501200,3801300,14748100,2303800,57379900,41007987,3677300,17290100,11930900,12831600,14316500,9948769,18269800,6379400,3633000,73503009,4449230000
2020-07-02 00:00:00-04:00,29315800,114041600,258751500,131868000,30633600,5163100,37182000,5152200,27845600,6299300,6150900,3290100,15578600,1971700,56000200,49947900,3369800,18216600,10312000,15814500,15111900,6827825,23372800,5832800,2769200,45270881,4197720000
2020-07-06 00:00:00-04:00,31897600,118655600,308548500,137612000,26206200,6443300,31280000,6156400,18625300,7292200,6023300,3013300,20536700,2395000,59589000,44639852,3133800,22692000,11933400,11231100,15146000,8058282,17551400,6747500,4221600,27150935,4759160000
2020-07-07 00:00:00-04:00,33600700,112424400,322345500,105150000,27887800,4952100,29164000,5622600,25757200,7660100,6866300,3633100,15996500,2075700,60645800,36422181,2927800,17407600,10836500,13319700,13043600,6956414,19404700,5898000,4424500,25148018,4571330000
2020-07-08 00:00:00-04:00,33600000,117092000,244669500,100752000,29791300,5547800,24994000,6257400,18762200,8368000,6494100,4115000,13277900,1987400,52922600,51547292,2294000,18291400,13629500,15320800,13851200,8211394,12536000,6736400,3798200,24256545,4937310000
2020-07-09 00:00:00-04:00,33121700,125642800,175764000,127774000,22174900,5420600,28466000,5738600,25600800,8548200,5341000,5042800,20683700,3061700,79385900,52120187,2994700,25882000,13582900,17618400,16087100,7966058,15335200,8833600,4005200,20363702,4843650000
2020-07-10 00:00:00-04:00,26177600,90257200,350064000,109720000,22982700,5482300,37126000,4282400,28954200,7674200,6752600,3030900,17742300,2391600,81142900,48846464,2745300,18951000,14207900,15652200,15627800,5161400,19032700,6218100,5932800,24459019,4524190000
2020-07-13 00:00:00-04:00,38135600,191649200,584781000,154408000,24674900,7885600,36928000,6951900,32079200,8564100,7681500,4853700,19082900,4263300,73598100,54274864,4437500,20028300,15620200,15285100,16705300,8114245,17464700,7074000,8960000,56569129,4902440000
2020-07-14 00:00:00-04:00,37591800,170989200,351271500,144638000,23378100,14683400,31700000,7447100,42731700,8003900,6272100,4795900,24190900,4234900,67423100,40519034,4614200,21444100,12425100,15683600,17080100,8397100,21030600,7440500,6766800,32854129,4507140000
2020-07-15 00:00:00-04:00,32179400,153198000,245517000,115778000,19133600,7558200,32214000,8512800,22508400,7681100,8145000,5257300,19986300,5116900,57384400,40985612,4343700,17332400,15314200,13903600,23738000,7709717,21068800,5935200,5561300,26294454,4686830000
2020-07-16 00:00:00-04:00,29940700,110577600,214512000,127884000,18880700,4771300,30386000,9304700,16886900,5064000,3959300,3312100,12425900,3844500,78067100,43674920,2511200,14673700,10210100,13477400,13306100,5850774,14817900,4795700,3788100,18421812,3972860000
