created_at,$MSFT,$AAPL,$AMZN,$FB,$BBRK.B,$GOOG,$JNJ,$JPM,$V,$PG,$MA,$INTC,$UNH,$BAC,$T,$HD,$XOM,$DIS,$VZ,$KO,$MRK,$CMCSA,$CVX,$PEP,$PFE,$SPY
2020-06-16,681.0,1738.0,1191.0,821.0,False,852.0,85.0,313.0,682.0,57.0,190.0,207.0,40.0,201.0,1376.0,113.0,148.0,285.0,94.0,78.0,109.0,67.0,51.0,45.0,168.0,2615.0
2020-06-17,691.0,1611.0,1296.0,892.0,False,662.0,135.0,302.0,581.0,50.0,195.0,144.0,32.0,178.0,1368.0,125.0,138.0,317.0,49.0,54.0,149.0,30.0,66.0,84.0,127.0,2628.0
2020-06-18,647.0,1435.0,1127.0,1224.0,False,523.0,130.0,246.0,585.0,52.0,178.0,145.0,62.0,181.0,1389.0,91.0,168.0,309.0,68.0,45.0,74.0,60.0,99.0,81.0,230.0,2323.0
2020-06-19,776.0,2460.0,1096.0,948.0,False,456.0,145.0,219.0,523.0,70.0,127.0,180.0,44.0,133.0,1351.0,83.0,104.0,357.0,51.0,72.0,88.0,53.0,65.0,68.0,90.0,2386.0
2020-06-20,415.0,866.0,573.0,573.0,False,358.0,42.0,80.0,216.0,23.0,77.0,63.0,32.0,61.0,708.0,33.0,53.0,125.0,28.0,37.0,33.0,9.0,19.0,14.0,48.0,795.0
2020-06-21,420.0,848.0,720.0,540.0,False,340.0,55.0,83.0,254.0,13.0,67.0,45.0,10.0,78.0,885.0,29.0,42.0,135.0,29.0,23.0,29.0,14.0,26.0,53.0,43.0,1106.0
2020-06-22,1163.0,2661.0,1193.0,1221.0,False,703.0,72.0,239.0,512.0,43.0,179.0,393.0,36.0,173.0,1369.0,104.0,98.0,323.0,51.0,92.0,99.0,45.0,49.0,60.0,132.0,2458.0
2020-06-23,1282.0,3422.0,1983.0,1259.0,False,675.0,112.0,327.0,681.0,53.0,325.0,222.0,56.0,184.0,1349.0,101.0,71.0,358.0,74.0,93.0,133.0,76.0,43.0,50.0,85.0,2480.0
2020-06-24,779.0,2238.0,1367.0,1015.0,False,535.0,156.0,274.0,654.0,37.0,168.0,179.0,55.0,151.0,1301.0,94.0,117.0,631.0,90.0,64.0,114.0,57.0,48.0,41.0,100.0,2983.0
2020-06-25,753.0,1768.0,1089.0,958.0,False,519.0,117.0,484.0,792.0,39.0,225.0,138.0,48.0,307.0,1336.0,112.0,166.0,788.0,107.0,96.0,157.0,43.0,64.0,44.0,95.0,2841.0
2020-06-26,996.0,1409.0,1585.0,2763.0,False,618.0,108.0,401.0,780.0,124.0,139.0,97.0,47.0,314.0,1978.0,90.0,264.0,358.0,172.0,104.0,106.0,43.0,60.0,53.0,127.0,2873.0
2020-06-27,412.0,733.0,560.0,1171.0,False,410.0,49.0,208.0,242.0,21.0,66.0,46.0,22.0,106.0,842.0,43.0,89.0,122.0,32.0,123.0,40.0,13.0,34.0,28.0,72.0,1343.0
2020-06-28,536.0,802.0,663.0,1553.0,False,482.0,64.0,192.0,307.0,19.0,66.0,60.0,22.0,124.0,1009.0,62.0,61.0,174.0,43.0,59.0,75.0,14.0,29.0,70.0,64.0,1555.0
2020-06-29,848.0,1671.0,1220.0,3108.0,False,592.0,101.0,354.0,702.0,74.0,192.0,119.0,51.0,303.0,1711.0,129.0,146.0,244.0,127.0,175.0,210.0,70.0,80.0,59.0,127.0,2282.0
2020-06-30,835.0,3170.0,1182.0,1684.0,False,606.0,102.0,290.0,604.0,53.0,135.0,153.0,37.0,196.0,1809.0,80.0,209.0,340.0,92.0,157.0,163.0,49.0,42.0,54.0,94.0,2432.0
2020-07-01,896.0,1899.0,1942.0,2524.0,False,661.0,141.0,274.0,626.0,63.0,192.0,134.0,39.0,180.0,1983.0,70.0,183.0,308.0,52.0,124.0,118.0,83.0,50.0,43.0,1228.0,2610.0
2020-07-02,744.0,1470.0,1641.0,2596.0,False,599.0,79.0,292.0,617.0,52.0,150.0,106.0,42.0,175.0,1753.0,56.0,90.0,457.0,140.0,84.0,72.0,57.0,24.0,26.0,430.0,2493.0
2020-07-03,421.0,676.0,669.0,967.0,False,357.0,71.0,94.0,222.0,23.0,94.0,77.0,42.0,69.0,867.0,46.0,57.0,179.0,23.0,47.0,32.0,27.0,18.0,25.0,78.0,969.0
2020-07-04,283.0,487.0,503.0,406.0,False,254.0,46.0,59.0,155.0,34.0,84.0,44.0,14.0,46.0,568.0,33.0,45.0,103.0,26.0,54.0,18.0,20.0,15.0,25.0,61.0,576.0
2020-07-05,354.0,531.0,538.0,396.0,False,261.0,45.0,81.0,218.0,14.0,65.0,55.0,24.0,65.0,684.0,40.0,59.0,114.0,24.0,57.0,25.0,16.0,25.0,24.0,99.0,784.0
2020-07-06,1486.0,2165.0,2936.0,1166.0,False,905.0,152.0,336.0,661.0,28.0,155.0,257.0,18.0,136.0,2047.0,93.0,113.0,409.0,67.0,62.0,75.0,38.0,33.0,50.0,131.0,2275.0
2020-07-07,1335.0,2149.0,2412.0,1629.0,False,1011.0,130.0,267.0,885.0,43.0,177.0,201.0,35.0,202.0,1877.0,95.0,113.0,428.0,99.0,83.0,62.0,52.0,44.0,60.0,101.0,2153.0
2020-07-08,842.0,1885.0,1669.0,1218.0,False,571.0,115.0,371.0,911.0,65.0,172.0,215.0,48.0,256.0,1744.0,144.0,124.0,564.0,119.0,83.0,128.0,62.0,64.0,49.0,102.0,2219.0
2020-07-09,1055.0,2183.0,2295.0,980.0,False,699.0,130.0,340.0,902.0,61.0,201.0,232.0,76.0,266.0,1809.0,143.0,135.0,405.0,140.0,109.0,137.0,42.0,50.0,42.0,114.0,2371.0
2020-07-10,792.0,1664.0,2031.0,1231.0,False,929.0,120.0,652.0,815.0,44.0,170.0,162.0,63.0,374.0,1875.0,150.0,156.0,655.0,152.0,191.0,98.0,43.0,44.0,104.0,147.0,2290.0
2020-07-11,498.0,910.0,905.0,736.0,False,650.0,381.0,631.0,337.0,49.0,68.0,74.0,400.0,476.0,1338.0,150.0,97.0,402.0,32.0,92.0,31.0,26.0,21.0,366.0,63.0,928.0
2020-07-12,464.0,842.0,826.0,614.0,False,453.0,262.0,490.0,370.0,27.0,74.0,89.0,260.0,334.0,1208.0,113.0,87.0,367.0,29.0,68.0,40.0,32.0,20.0,279.0,72.0,983.0
2020-07-13,883.0,2665.0,2277.0,1257.0,False,791.0,299.0,941.0,1102.0,79.0,199.0,222.0,216.0,437.0,2648.0,307.0,136.0,844.0,147.0,129.0,80.0,62.0,42.0,608.0,527.0,2978.0
2020-07-14,883.0,1796.0,1621.0,881.0,False,733.0,195.0,2476.0,1042.0,79.0,184.0,201.0,174.0,318.0,1853.0,213.0,148.0,453.0,140.0,137.0,79.0,59.0,54.0,140.0,232.0,2673.0
2020-07-15,879.0,1956.0,1428.0,843.0,False,559.0,271.0,666.0,893.0,67.0,167.0,164.0,343.0,344.0,1771.0,222.0,141.0,440.0,111.0,126.0,195.0,60.0,62.0,79.0,280.0,2504.0
2020-07-16,857.0,1582.0,1896.0,944.0,False,620.0,643.0,416.0,772.0,41.0,202.0,206.0,119.0,673.0,1746.0,206.0,117.0,525.0,158.0,126.0,87.0,65.0,52.0,59.0,131.0,1872.0
